기능/플랫폼 유형,커머스(용품),헬스케어/관리,병원·예약/상담,커뮤니티/SNS,입양/보호,펫시팅·산책,인플루언서·광고매칭,우리 서비스(펫풀)
사용자·펫 프로필(다중),➕,✅,✅,✅,✅,✅,✅,✅ (다중 반려동물 프로필 + 상세 정보)
포트폴리오/활동 이력,—,✅,➕(진료 기록),➕(앨범),➕(임보 기록),➕(시터 이력),✅,✅ (활동 기록 + 진행률 관리)
피드/게시글,➕(리뷰 위주),—,—,✅,✅(공고 위주),—,✅(연동),✅ (커뮤니티 게시글 + SNS 연동)
댓글 관리/필터링,➕(기본 신고),—,—,➕(기본),➕(기본),—,✅(필터링/모더레이션),✅ (AI 기반 댓글 필터링 + 금지어 관리)
메시징/DM,➕(CS),—,✅(상담),✅,✅(문의),✅,✅(브랜드–인플루언서),✅ (실시간 채팅 + 알림 시스템)
상품 검색·구매,✅,➕(헬스 연계),—,➕(외부 링크),—,—,—,✅ (체험단 상품 + 리뷰 시스템)
정기배송·구독,✅,➕,—,—,—,—,—,✅ (체험단 정기 모집 + 알림)
건강 기록·접종,—,✅,✅,—,➕(기록 제공),➕(증빙),—,✅ (건강 관리 + 투약/돌봄 일정)
병원 검색·예약,—,➕,✅,—,—,—,—,✅ (진료·처방 관리 + 예약 시스템)
입양 공고·신청,—,—,—,➕(공유),✅,—,—,✅ (입양 공고 + 매칭 시스템)
시터·산책 매칭,—,—,—,—,—,✅,—,✅ (펫시터 매칭 + 리뷰 시스템)
광고·체험단 매칭,—,—,—,➕(게시판),—,—,✅,✅ (체험단 매칭 + 브랜드 연동)
분석 대시보드,➕(매출),✅(건강 지표),✅(운영/예약),➕(활동),➕(매칭 현황),➕(주문/완료),✅(피드/캠페인),✅ (종합 분석 + 실시간 통계)
결제·정산(플랫폼),✅,—,✅,—,—,✅,✅,✅ (체험단 보상 + 정산 시스템)
리뷰·평점,✅(상품),➕,✅(병원),➕(게시물),➕(기관),✅(시터),✅(상호 평가),✅ (다양한 리뷰 시스템 + 평점 관리)
AI 기반 추천,—,—,—,—,—,—,—,✅ (개인화된 추천 + 매칭 알고리즘)
SNS 분석,—,—,—,—,—,—,➕,✅ (피드 분석 + 감정 분석)
반응형 디자인,➕,➕,➕,➕,➕,➕,➕,✅ (모바일 최적화 + 크로스 플랫폼)
보안·인증,—,—,—,—,—,—,—,✅ (이메일 인증 + 보안 시스템)
차별점 요약,기본 커머스 기능,건강 관리 중심,병원 예약 중심,커뮤니티 중심,입양 중심,펫시팅 중심,광고 매칭 중심,통합 플랫폼 + AI 기반 개인화 서비스
